clean,corrupted,group,plural
The surgeons the guard likes,The surgeon the guard likes,ML-obj_rel_no_comp_across_anim_all,1
The poems the parent,The poems the parents,ML-obj_rel_no_comp_within_inanim_all,0
The manager that hates the minister,The managers that hate the minister,ML-subj_rel_all,0
The consultants the taxi drivers hate,The consultant the taxi drivers hate,ML-obj_rel_no_comp_across_anim_all,1
The consultant next to the taxi driver,The consultants next to the taxi driver,ML-prep_anim_all,0
The pictures the executive loves,The picture the executive loves,ML-obj_rel_no_comp_across_inanim_all,1
The senators the guards love,The senator the guards love,ML-obj_rel_no_comp_across_anim_all,1
The game that the chef,The game that the chefs,ML-obj_rel_within_inanim_all,0
The senators that the skaters love,The senator that the skaters love,ML-obj_rel_across_anim_all,1
The farmers the executives admire,The farmer the executives admire,ML-obj_rel_no_comp_across_anim_all,1
The movies that the taxi driver loves,The movie that the taxi driver loves,ML-obj_rel_across_inanim_all,1
The pictures that the architect admires,The picture that the architect admires,ML-obj_rel_across_inanim_all,1
The senator that loves the skater,The senators that love the skater,ML-subj_rel_all,0
The consultant across from the skater,The consultants across from the skater,ML-prep_anim_all,0
The poem that the guard hates,The poems that the guard hates,ML-obj_rel_across_inanim_all,0
The books the chefs admire,The book the chefs admire,ML-obj_rel_no_comp_across_inanim_all,1
The surgeons that the assistants like,The surgeon that the assistants like,ML-obj_rel_across_anim_all,1
The manager that the dancer admires,The managers that the dancer admires,ML-obj_rel_across_anim_all,0
The consultant that the executives admire,The consultants that the executives admire,ML-obj_rel_across_anim_all,0
The books the architect admires,The book the architect admires,ML-obj_rel_no_comp_across_inanim_all,1
The managers the minister,The managers the ministers,ML-obj_rel_no_comp_within_anim_all,0
The customer that the executive likes,The customers that the executive likes,ML-obj_rel_across_anim_all,0
The farmer the architects,The farmer the architect,ML-obj_rel_no_comp_within_anim_all,1
The songs by the dancers,The song by the dancers,ML-prep_inanim_all,1
The picture that the executive,The picture that the executives,ML-obj_rel_within_inanim_all,0
The officers the skater hates,The officer the skater hates,ML-obj_rel_no_comp_across_anim_all,1
The authors the assistants,The authors the assistant,ML-obj_rel_no_comp_within_anim_all,1
The manager to the side of the minister,The managers to the side of the minister,ML-prep_anim_all,0
The pilot next to the skater,The pilots next to the skater,ML-prep_anim_all,0
The paintings the architect admires,The painting the architect admires,ML-obj_rel_no_comp_across_inanim_all,1
The book that the guards,The book that the guard,ML-obj_rel_within_inanim_all,1
The picture the assistants admire,The pictures the assistants admire,ML-obj_rel_no_comp_across_inanim_all,0
The officers in front of the ministers,The officer in front of the ministers,ML-prep_anim_all,1
The shows the dancers like,The show the dancers like,ML-obj_rel_no_comp_across_inanim_all,1
The officer the skaters like,The officers the skaters like,ML-obj_rel_no_comp_across_anim_all,0
The game from the skater,The games from the skater,ML-prep_inanim_all,0
The officers write in a journal every day and,The officer writes in a journal every day and,ML-long_vp_coord_all,1
The senators are short and,The senator is short and,ML-vp_coord_all,1
The senator that the parent,The senator that the parents,ML-obj_rel_within_anim_all,0
The books the executives hate,The book the executives hate,ML-obj_rel_no_comp_across_inanim_all,1
The manager in front of the taxi driver,The managers in front of the taxi driver,ML-prep_anim_all,0
The show the executives,The show the executive,ML-obj_rel_no_comp_within_inanim_all,1
The pictures the taxi drivers,The pictures the taxi driver,ML-obj_rel_no_comp_within_inanim_all,1
The surgeons in front of the skater,The surgeon in front of the skater,ML-prep_anim_all,1
The author that the architects love,The authors that the architects love,ML-obj_rel_across_anim_all,0
The novel the guard hates,The novels the guard hates,ML-obj_rel_no_comp_across_inanim_all,0
The customers to the side of the parents,The customer to the side of the parents,ML-prep_anim_all,1
The officer that likes the dancers,The officers that like the dancers,ML-subj_rel_all,0
The senators the skaters hate,The senator the skaters hate,ML-obj_rel_no_comp_across_anim_all,1
The customers that the executive loves,The customer that the executive loves,ML-obj_rel_across_anim_all,1
The farmers that the dancers admire,The farmer that the dancers admire,ML-obj_rel_across_anim_all,1
The farmers the executive,The farmers the executives,ML-obj_rel_no_comp_within_anim_all,0
The customer the executive hates,The customers the executive hates,ML-obj_rel_no_comp_across_anim_all,0
The customer that the architects admire,The customers that the architects admire,ML-obj_rel_across_anim_all,0
The manager to the side of the executives,The managers to the side of the executives,ML-prep_anim_all,0
The novels the taxi drivers like,The novel the taxi drivers like,ML-obj_rel_no_comp_across_inanim_all,1
The song the parent loves,The songs the parent loves,ML-obj_rel_no_comp_across_inanim_all,0
The author next to the dancers,The authors next to the dancers,ML-prep_anim_all,0
The mechanics thought the consultants,The mechanics thought the consultant,ML-sent_comp_all,1
The movies the dancers like,The movie the dancers like,ML-obj_rel_no_comp_across_inanim_all,1
The consultants that hate the chef,The consultant that hates the chef,ML-subj_rel_all,1
The manager that the assistants,The manager that the assistant,ML-obj_rel_within_anim_all,1
The author the taxi drivers love,The authors the taxi drivers love,ML-obj_rel_no_comp_across_anim_all,0
The author that the guards admire,The authors that the guards admire,ML-obj_rel_across_anim_all,0
The consultant the taxi drivers hate,The consultants the taxi drivers hate,ML-obj_rel_no_comp_across_anim_all,0
The game by the parent,The games by the parent,ML-prep_inanim_all,0
The consultants that hate the ministers,The consultant that hates the ministers,ML-subj_rel_all,1
The song the taxi drivers,The song the taxi driver,ML-obj_rel_no_comp_within_inanim_all,1
The painting that the chef,The painting that the chefs,ML-obj_rel_within_inanim_all,0
The managers to the side of the skater,The manager to the side of the skater,ML-prep_anim_all,1
The game that the architects like,The games that the architects like,ML-obj_rel_across_inanim_all,0
The author the parent admires,The authors the parent admires,ML-obj_rel_no_comp_across_anim_all,0
The pictures from the architect,The picture from the architect,ML-prep_inanim_all,1
The farmer next to the taxi drivers,The farmers next to the taxi drivers,ML-prep_anim_all,0
The pictures that the minister loves,The picture that the minister loves,ML-obj_rel_across_inanim_all,1
The senator that the executives admire,The senators that the executives admire,ML-obj_rel_across_anim_all,0
The consultants that the taxi driver likes,The consultant that the taxi driver likes,ML-obj_rel_across_anim_all,1
The manager to the side of the skater,The managers to the side of the skater,ML-prep_anim_all,0
The consultant near the skaters,The consultants near the skaters,ML-prep_anim_all,0
The pilot the assistant,The pilot the assistants,ML-obj_rel_no_comp_within_anim_all,0
The customer that the dancer likes,The customers that the dancer likes,ML-obj_rel_across_anim_all,0
The senator that likes the dancers,The senators that like the dancers,ML-subj_rel_all,0
The surgeon the skater,The surgeon the skaters,ML-obj_rel_no_comp_within_anim_all,0
The managers in front of the dancer,The manager in front of the dancer,ML-prep_anim_all,1
The consultants that hate the taxi drivers,The consultant that hates the taxi drivers,ML-subj_rel_all,1
The books the chefs hate,The book the chefs hate,ML-obj_rel_no_comp_across_inanim_all,1
The surgeon near the parents,The surgeons near the parents,ML-prep_anim_all,0
The poem that the executives admire,The poems that the executives admire,ML-obj_rel_across_inanim_all,0
The pilots that like the executive,The pilot that likes the executive,ML-subj_rel_all,1
The farmer the assistant,The farmer the assistants,ML-obj_rel_no_comp_within_anim_all,0
The book that the guards admire,The books that the guards admire,ML-obj_rel_across_inanim_all,0
The novel the chefs love,The novels the chefs love,ML-obj_rel_no_comp_across_inanim_all,0
The paintings the assistant,The paintings the assistants,ML-obj_rel_no_comp_within_inanim_all,0
The surgeons near the guard,The surgeon near the guard,ML-prep_anim_all,1
The novels the assistants like,The novel the assistants like,ML-obj_rel_no_comp_across_inanim_all,1
The pilot the skater loves,The pilots the skater loves,ML-obj_rel_no_comp_across_anim_all,0
The teacher that the guards admire,The teachers that the guards admire,ML-obj_rel_across_anim_all,0
The poem from the architects,The poems from the architects,ML-prep_inanim_all,0
The picture the dancer likes,The pictures the dancer likes,ML-obj_rel_no_comp_across_inanim_all,0
The officer to the side of the parents,The officers to the side of the parents,ML-prep_anim_all,0
The author the guards love,The authors the guards love,ML-obj_rel_no_comp_across_anim_all,0
The customer the parents,The customer the parent,ML-obj_rel_no_comp_within_anim_all,1
The novel from the architects,The novels from the architects,ML-prep_inanim_all,0
The customer that loves the executives,The customers that love the executives,ML-subj_rel_all,0
The senators next to the dancer,The senator next to the dancer,ML-prep_anim_all,1
The consultant across from the ministers,The consultants across from the ministers,ML-prep_anim_all,0
The picture that the architects admire,The pictures that the architects admire,ML-obj_rel_across_inanim_all,0
The customers that the architect hates,The customer that the architect hates,ML-obj_rel_across_anim_all,1
The show that the skater,The show that the skaters,ML-obj_rel_within_inanim_all,0
The books by the architects,The book by the architects,ML-prep_inanim_all,1
The managers the architect,The managers the architects,ML-obj_rel_no_comp_within_anim_all,0
The senator the skaters admire,The senators the skaters admire,ML-obj_rel_no_comp_across_anim_all,0
The manager the guard loves,The managers the guard loves,ML-obj_rel_no_comp_across_anim_all,0
The officer the architect loves,The officers the architect loves,ML-obj_rel_no_comp_across_anim_all,0
The mechanic said the officer,The mechanic said the officers,ML-sent_comp_all,0
The shows the taxi drivers like,The show the taxi drivers like,ML-obj_rel_no_comp_across_inanim_all,1
The books by the chef,The book by the chef,ML-prep_inanim_all,1
The novel that the assistant hates,The novels that the assistant hates,ML-obj_rel_across_inanim_all,0
The consultants the assistant likes,The consultant the assistant likes,ML-obj_rel_no_comp_across_anim_all,1
The movies from the dancer,The movie from the dancer,ML-prep_inanim_all,1
The pilots to the side of the skaters,The pilot to the side of the skaters,ML-prep_anim_all,1
The teachers in front of the guard,The teacher in front of the guard,ML-prep_anim_all,1
The novel the guards love,The novels the guards love,ML-obj_rel_no_comp_across_inanim_all,0
The manager the parent loves,The managers the parent loves,ML-obj_rel_no_comp_across_anim_all,0
The show by the architects,The shows by the architects,ML-prep_inanim_all,0
The consultant the parent likes,The consultants the parent likes,ML-obj_rel_no_comp_across_anim_all,0
The consultant next to the architects,The consultants next to the architects,ML-prep_anim_all,0
The consultant across from the executive,The consultants across from the executive,ML-prep_anim_all,0
The consultants the taxi driver,The consultants the taxi drivers,ML-obj_rel_no_comp_within_anim_all,0
The book that the dancer,The book that the dancers,ML-obj_rel_within_inanim_all,0
The novel that the executives,The novel that the executive,ML-obj_rel_within_inanim_all,1
The manager the skater loves,The managers the skater loves,ML-obj_rel_no_comp_across_anim_all,0
The customers in front of the executives,The customer in front of the executives,ML-prep_anim_all,1
The song that the ministers love,The songs that the ministers love,ML-obj_rel_across_inanim_all,0
The manager the guard admires,The managers the guard admires,ML-obj_rel_no_comp_across_anim_all,0
The surgeons next to the chef,The surgeon next to the chef,ML-prep_anim_all,1
The novel the assistant likes,The novels the assistant likes,ML-obj_rel_no_comp_across_inanim_all,0
The consultant that the architect likes,The consultants that the architect likes,ML-obj_rel_across_anim_all,0
The manager the dancers,The manager the dancer,ML-obj_rel_no_comp_within_anim_all,1
The authors the ministers hate,The author the ministers hate,ML-obj_rel_no_comp_across_anim_all,1
The author the skaters,The author the skater,ML-obj_rel_no_comp_within_anim_all,1
The consultant in front of the guard,The consultants in front of the guard,ML-prep_anim_all,0
The show the ministers hate,The shows the ministers hate,ML-obj_rel_no_comp_across_inanim_all,0
The novels the chefs hate,The novel the chefs hate,ML-obj_rel_no_comp_across_inanim_all,1
The surgeon that loves the skater,The surgeons that love the skater,ML-subj_rel_all,0
The picture that the assistants love,The pictures that the assistants love,ML-obj_rel_across_inanim_all,0
The teachers across from the minister,The teacher across from the minister,ML-prep_anim_all,1
The manager that the assistant admires,The managers that the assistant admires,ML-obj_rel_across_anim_all,0
The movies the skater,The movies the skaters,ML-obj_rel_no_comp_within_inanim_all,0
The officer that the parent likes,The officers that the parent likes,ML-obj_rel_across_anim_all,0
The pilot that loves the skaters,The pilots that love the skaters,ML-subj_rel_all,0
The songs by the chefs,The song by the chefs,ML-prep_inanim_all,1
The officers that the parent likes,The officer that the parent likes,ML-obj_rel_across_anim_all,1
The consultant behind the taxi drivers,The consultants behind the taxi drivers,ML-prep_anim_all,0
The author that the dancers,The author that the dancer,ML-obj_rel_within_anim_all,1
The farmer the skaters admire,The farmers the skaters admire,ML-obj_rel_no_comp_across_anim_all,0
The surgeons behind the guard,The surgeon behind the guard,ML-prep_anim_all,1
The author the parent hates,The authors the parent hates,ML-obj_rel_no_comp_across_anim_all,0
The teachers the taxi driver,The teachers the taxi drivers,ML-obj_rel_no_comp_within_anim_all,0
The teachers behind the assistant,The teacher behind the assistant,ML-prep_anim_all,1
The paintings by the parents,The painting by the parents,ML-prep_inanim_all,1
The movies that the chefs love,The movie that the chefs love,ML-obj_rel_across_inanim_all,1
The officers that the taxi drivers hate,The officer that the taxi drivers hate,ML-obj_rel_across_anim_all,1
The farmers the architect likes,The farmer the architect likes,ML-obj_rel_no_comp_across_anim_all,1
The authors that love the taxi driver,The author that loves the taxi driver,ML-subj_rel_all,1
The picture that the skaters like,The pictures that the skaters like,ML-obj_rel_across_inanim_all,0
The customers that the ministers,The customers that the minister,ML-obj_rel_within_anim_all,1
The senators next to the taxi driver,The senator next to the taxi driver,ML-prep_anim_all,1
The senator next to the parents,The senators next to the parents,ML-prep_anim_all,0
The manager the skaters like,The managers the skaters like,ML-obj_rel_no_comp_across_anim_all,0
The teacher that likes the taxi driver,The teachers that like the taxi driver,ML-subj_rel_all,0
The customer that the parents like,The customers that the parents like,ML-obj_rel_across_anim_all,0
The surgeon behind the executive,The surgeons behind the executive,ML-prep_anim_all,0
The novel the chef likes,The novels the chef likes,ML-obj_rel_no_comp_across_inanim_all,0
The customer the assistant admires,The customers the assistant admires,ML-obj_rel_no_comp_across_anim_all,0
The games that the skaters,The games that the skater,ML-obj_rel_within_inanim_all,1
The teachers that the parent loves,The teacher that the parent loves,ML-obj_rel_across_anim_all,1
The farmers in front of the skater,The farmer in front of the skater,ML-prep_anim_all,1
The painting the taxi drivers admire,The paintings the taxi drivers admire,ML-obj_rel_no_comp_across_inanim_all,0
The movies the executives love,The movie the executives love,ML-obj_rel_no_comp_across_inanim_all,1
The customer the architects,The customer the architect,ML-obj_rel_no_comp_within_anim_all,1
The officers that the executive likes,The officer that the executive likes,ML-obj_rel_across_anim_all,1
The books the skaters hate,The book the skaters hate,ML-obj_rel_no_comp_across_inanim_all,1
The pilots that the assistant,The pilots that the assistants,ML-obj_rel_within_anim_all,0
The pilot that hates the guard,The pilots that hate the guard,ML-subj_rel_all,0
The senator that the executives,The senator that the executive,ML-obj_rel_within_anim_all,1
The painting by the taxi drivers,The paintings by the taxi drivers,ML-prep_inanim_all,0
The teacher that loves the skater,The teachers that love the skater,ML-subj_rel_all,0
The author behind the executives,The authors behind the executives,ML-prep_anim_all,0
The manager the skater admires,The managers the skater admires,ML-obj_rel_no_comp_across_anim_all,0
The surgeons that love the taxi drivers,The surgeon that loves the taxi drivers,ML-subj_rel_all,1
The book the guards love,The books the guards love,ML-obj_rel_no_comp_across_inanim_all,0
The poem the assistant hates,The poems the assistant hates,ML-obj_rel_no_comp_across_inanim_all,0
The song the taxi driver,The song the taxi drivers,ML-obj_rel_no_comp_within_inanim_all,0
The officer that the assistants admire,The officers that the assistants admire,ML-obj_rel_across_anim_all,0
The farmer that likes the minister,The farmers that like the minister,ML-subj_rel_all,0
The books that the skater likes,The book that the skater likes,ML-obj_rel_across_inanim_all,1
The surgeon the architect,The surgeon the architects,ML-obj_rel_no_comp_within_anim_all,0
The songs by the executives,The song by the executives,ML-prep_inanim_all,1
The customer that the taxi drivers,The customer that the taxi driver,ML-obj_rel_within_anim_all,1
The pilot behind the executive,The pilots behind the executive,ML-prep_anim_all,0
The customer the parent hates,The customers the parent hates,ML-obj_rel_no_comp_across_anim_all,0
The senators the chef hates,The senator the chef hates,ML-obj_rel_no_comp_across_anim_all,1
The authors that the taxi drivers,The authors that the taxi driver,ML-obj_rel_within_anim_all,1
The pilot the parent admires,The pilots the parent admires,ML-obj_rel_no_comp_across_anim_all,0
The surgeons in front of the skaters,The surgeon in front of the skaters,ML-prep_anim_all,1
The movies the dancer,The movies the dancers,ML-obj_rel_no_comp_within_inanim_all,0
The teachers that the skaters hate,The teacher that the skaters hate,ML-obj_rel_across_anim_all,1
The teachers the assistants hate,The teacher the assistants hate,ML-obj_rel_no_comp_across_anim_all,1
The picture from the dancer,The pictures from the dancer,ML-prep_inanim_all,0
The painting the chef,The painting the chefs,ML-obj_rel_no_comp_within_inanim_all,0
The game that the guard,The game that the guards,ML-obj_rel_within_inanim_all,0
The authors that the chef likes,The author that the chef likes,ML-obj_rel_across_anim_all,1
The surgeons that the guard admires,The surgeon that the guard admires,ML-obj_rel_across_anim_all,1
The officers that hate the assistants,The officer that hates the assistants,ML-subj_rel_all,1
The farmers behind the architect,The farmer behind the architect,ML-prep_anim_all,1
The authors that the minister hates,The author that the minister hates,ML-obj_rel_across_anim_all,1
The poems that the chef loves,The poem that the chef loves,ML-obj_rel_across_inanim_all,1
The senator that the architect likes,The senators that the architect likes,ML-obj_rel_across_anim_all,0
The book the ministers hate,The books the ministers hate,ML-obj_rel_no_comp_across_inanim_all,0
The pilot near the taxi driver,The pilots near the taxi driver,ML-prep_anim_all,0
The farmer the skaters hate,The farmers the skaters hate,ML-obj_rel_no_comp_across_anim_all,0
The poem the guard admires,The poems the guard admires,ML-obj_rel_no_comp_across_inanim_all,0
The teachers that like the architects,The teacher that likes the architects,ML-subj_rel_all,1
The senators next to the architect,The senator next to the architect,ML-prep_anim_all,1
The picture that the dancers like,The pictures that the dancers like,ML-obj_rel_across_inanim_all,0
The movie by the chefs,The movies by the chefs,ML-prep_inanim_all,0
The senator that the parent likes,The senators that the parent likes,ML-obj_rel_across_anim_all,0
The shows that the architect admires,The show that the architect admires,ML-obj_rel_across_inanim_all,1
The show from the chef,The shows from the chef,ML-prep_inanim_all,0
The customers the taxi driver hates,The customer the taxi driver hates,ML-obj_rel_no_comp_across_anim_all,1
The surgeon near the taxi drivers,The surgeons near the taxi drivers,ML-prep_anim_all,0
The customers the skater,The customers the skaters,ML-obj_rel_no_comp_within_anim_all,0
The pictures that the taxi driver,The pictures that the taxi drivers,ML-obj_rel_within_inanim_all,0
The surgeons that the ministers love,The surgeon that the ministers love,ML-obj_rel_across_anim_all,1
The pilot in front of the architects,The pilots in front of the architects,ML-prep_anim_all,0
The farmers that the guards,The farmers that the guard,ML-obj_rel_within_anim_all,1
The pictures that the taxi driver loves,The picture that the taxi driver loves,ML-obj_rel_across_inanim_all,1
The farmers that hate the skater,The farmer that hates the skater,ML-subj_rel_all,1
The songs that the chef loves,The song that the chef loves,ML-obj_rel_across_inanim_all,1
The consultants the parents hate,The consultant the parents hate,ML-obj_rel_no_comp_across_anim_all,1
The painting that the architect likes,The paintings that the architect likes,ML-obj_rel_across_inanim_all,0
The customers that the minister admires,The customer that the minister admires,ML-obj_rel_across_anim_all,1
The pilot that loves the architect,The pilots that love the architect,ML-subj_rel_all,0
The officers near the dancers,The officer near the dancers,ML-prep_anim_all,1
The poem the assistant loves,The poems the assistant loves,ML-obj_rel_no_comp_across_inanim_all,0
The book that the chef admires,The books that the chef admires,ML-obj_rel_across_inanim_all,0
The manager behind the skater,The managers behind the skater,ML-prep_anim_all,0
The officer that hates the taxi drivers,The officers that hate the taxi drivers,ML-subj_rel_all,0
The authors the taxi drivers love,The author the taxi drivers love,ML-obj_rel_no_comp_across_anim_all,1
The book by the chefs,The books by the chefs,ML-prep_inanim_all,0
The game that the ministers love,The games that the ministers love,ML-obj_rel_across_inanim_all,0
The movie the skaters admire,The movies the skaters admire,ML-obj_rel_no_comp_across_inanim_all,0
The pilot that hates the ministers,The pilots that hate the ministers,ML-subj_rel_all,0
The surgeons that hate the skater,The surgeon that hates the skater,ML-subj_rel_all,1
The surgeons the guards like,The surgeon the guards like,ML-obj_rel_no_comp_across_anim_all,1
The paintings the ministers hate,The painting the ministers hate,ML-obj_rel_no_comp_across_inanim_all,1
The consultants the chefs hate,The consultant the chefs hate,ML-obj_rel_no_comp_across_anim_all,1
The book that the chefs like,The books that the chefs like,ML-obj_rel_across_inanim_all,0
The songs that the guards like,The song that the guards like,ML-obj_rel_across_inanim_all,1
The shows the assistant,The shows the assistants,ML-obj_rel_no_comp_within_inanim_all,0
The picture the assistant hates,The pictures the assistant hates,ML-obj_rel_no_comp_across_inanim_all,0
The farmers behind the chefs,The farmer behind the chefs,ML-prep_anim_all,1
The officer that the chef admires,The officers that the chef admires,ML-obj_rel_across_anim_all,0
The senator the chef loves,The senators the chef loves,ML-obj_rel_no_comp_across_anim_all,0
The senator behind the architect,The senators behind the architect,ML-prep_anim_all,0
The farmers the executive admires,The farmer the executive admires,ML-obj_rel_no_comp_across_anim_all,1
The officer the architects admire,The officers the architects admire,ML-obj_rel_no_comp_across_anim_all,0
The customer in front of the parent,The customers in front of the parent,ML-prep_anim_all,0
The farmers in front of the chefs,The farmer in front of the chefs,ML-prep_anim_all,1
The customers the skater likes,The customer the skater likes,ML-obj_rel_no_comp_across_anim_all,1
The movies that the architects hate,The movie that the architects hate,ML-obj_rel_across_inanim_all,1
The customer the guard likes,The customers the guard likes,ML-obj_rel_no_comp_across_anim_all,0
The senators across from the guard,The senator across from the guard,ML-prep_anim_all,1
The customers the taxi driver admires,The customer the taxi driver admires,ML-obj_rel_no_comp_across_anim_all,1
The pictures the executives,The pictures the executive,ML-obj_rel_no_comp_within_inanim_all,1
The novel the dancer hates,The novels the dancer hates,ML-obj_rel_no_comp_across_inanim_all,0
The teacher enjoys playing tennis with colleagues and,The teachers enjoy playing tennis with colleagues and,ML-long_vp_coord_all,0
The manager across from the dancer,The managers across from the dancer,ML-prep_anim_all,0
The pilots the parents admire,The pilot the parents admire,ML-obj_rel_no_comp_across_anim_all,1
The teacher that the parents,The teacher that the parent,ML-obj_rel_within_anim_all,1
The novel the chefs like,The novels the chefs like,ML-obj_rel_no_comp_across_inanim_all,0
The game the parent loves,The games the parent loves,ML-obj_rel_no_comp_across_inanim_all,0
The senators the guard admires,The senator the guard admires,ML-obj_rel_no_comp_across_anim_all,1
The author that the parents,The author that the parent,ML-obj_rel_within_anim_all,1
The managers that love the executive,The manager that loves the executive,ML-subj_rel_all,1
The farmer that the dancer hates,The farmers that the dancer hates,ML-obj_rel_across_anim_all,0
The farmer behind the executive,The farmers behind the executive,ML-prep_anim_all,0
The book that the executive hates,The books that the executive hates,ML-obj_rel_across_inanim_all,0
The farmer across from the ministers,The farmers across from the ministers,ML-prep_anim_all,0
The teacher next to the chef,The teachers next to the chef,ML-prep_anim_all,0
The surgeons next to the guard,The surgeon next to the guard,ML-prep_anim_all,1
The pilots behind the guard,The pilot behind the guard,ML-prep_anim_all,1
The surgeon that the executive,The surgeon that the executives,ML-obj_rel_within_anim_all,0
The farmers near the architect,The farmer near the architect,ML-prep_anim_all,1
The customer the architects love,The customers the architects love,ML-obj_rel_no_comp_across_anim_all,0
The game that the chef admires,The games that the chef admires,ML-obj_rel_across_inanim_all,0
The teachers near the guards,The teacher near the guards,ML-prep_anim_all,1
The teacher the skater likes,The teachers the skater likes,ML-obj_rel_no_comp_across_anim_all,0
The senator behind the dancer,The senators behind the dancer,ML-prep_anim_all,0
The painting the architects hate,The paintings the architects hate,ML-obj_rel_no_comp_across_inanim_all,0
The songs the parent likes,The song the parent likes,ML-obj_rel_no_comp_across_inanim_all,1
The surgeon is twenty three years old and,The surgeons are twenty three years old and,ML-long_vp_coord_all,0
The surgeons that the guards,The surgeons that the guard,ML-obj_rel_within_anim_all,1
The teachers that like the assistant,The teacher that likes the assistant,ML-subj_rel_all,1
The pilot the assistants,The pilot the assistant,ML-obj_rel_no_comp_within_anim_all,1
The customer behind the chef,The customers behind the chef,ML-prep_anim_all,0
The shows the dancer hates,The show the dancer hates,ML-obj_rel_no_comp_across_inanim_all,1
The managers the dancer,The managers the dancers,ML-obj_rel_no_comp_within_anim_all,0
The managers that the executive,The managers that the executives,ML-obj_rel_within_anim_all,0
The movies that the chef,The movies that the chefs,ML-obj_rel_within_inanim_all,0
The surgeon in front of the chefs,The surgeons in front of the chefs,ML-prep_anim_all,0
The pilot near the assistants,The pilots near the assistants,ML-prep_anim_all,0
The picture the parents love,The pictures the parents love,ML-obj_rel_no_comp_across_inanim_all,0
The consultant the skaters love,The consultants the skaters love,ML-obj_rel_no_comp_across_anim_all,0
The teachers that the chefs admire,The teacher that the chefs admire,ML-obj_rel_across_anim_all,1
The songs by the executive,The song by the executive,ML-prep_inanim_all,1
The customer that hates the dancers,The customers that hate the dancers,ML-subj_rel_all,0
The pilot across from the chef,The pilots across from the chef,ML-prep_anim_all,0
The mechanics thought the teachers,The mechanics thought the teacher,ML-sent_comp_all,1
The pilot that likes the architect,The pilots that like the architect,ML-subj_rel_all,0
The pilots the taxi drivers,The pilots the taxi driver,ML-obj_rel_no_comp_within_anim_all,1
The authors the assistant hates,The author the assistant hates,ML-obj_rel_no_comp_across_anim_all,1
The customers to the side of the executive,The customer to the side of the executive,ML-prep_anim_all,1
The consultant behind the skater,The consultants behind the skater,ML-prep_anim_all,0
The surgeon that likes the taxi drivers,The surgeons that like the taxi drivers,ML-subj_rel_all,0
The customer the guard loves,The customers the guard loves,ML-obj_rel_no_comp_across_anim_all,0
The consultant that the dancers love,The consultants that the dancers love,ML-obj_rel_across_anim_all,0
The picture the taxi drivers hate,The pictures the taxi drivers hate,ML-obj_rel_no_comp_across_inanim_all,0
The farmers in front of the parent,The farmer in front of the parent,ML-prep_anim_all,1
The painting that the taxi driver admires,The paintings that the taxi driver admires,ML-obj_rel_across_inanim_all,0
The mechanic knew the consultants,The mechanic knew the consultant,ML-sent_comp_all,1
The farmer across from the taxi driver,The farmers across from the taxi driver,ML-prep_anim_all,0
The manager the parents,The manager the parent,ML-obj_rel_no_comp_within_anim_all,1
The customer across from the architect,The customers across from the architect,ML-prep_anim_all,0
The pilot the architects hate,The pilots the architects hate,ML-obj_rel_no_comp_across_anim_all,0
The officers that the executive loves,The officer that the executive loves,ML-obj_rel_across_anim_all,1
The novel by the ministers,The novels by the ministers,ML-prep_inanim_all,0
The customer the assistant,The customer the assistants,ML-obj_rel_no_comp_within_anim_all,0
The officer the executives like,The officers the executives like,ML-obj_rel_no_comp_across_anim_all,0
The officer the chefs,The officer the chef,ML-obj_rel_no_comp_within_anim_all,1
The surgeons that the dancers love,The surgeon that the dancers love,ML-obj_rel_across_anim_all,1
The movies the dancer admires,The movie the dancer admires,ML-obj_rel_no_comp_across_inanim_all,1
The managers the architects hate,The manager the architects hate,ML-obj_rel_no_comp_across_anim_all,1
The teacher that likes the parents,The teachers that like the parents,ML-subj_rel_all,0
The manager that likes the executive,The managers that like the executive,ML-subj_rel_all,0
The novels that the parent admires,The novel that the parent admires,ML-obj_rel_across_inanim_all,1
The consultants in front of the taxi driver,The consultant in front of the taxi driver,ML-prep_anim_all,1
The teachers that like the guard,The teacher that likes the guard,ML-subj_rel_all,1
The book that the executives hate,The books that the executives hate,ML-obj_rel_across_inanim_all,0
The farmer is short and,The farmers are short and,ML-vp_coord_all,0
The farmer behind the taxi driver,The farmers behind the taxi driver,ML-prep_anim_all,0
The farmer that hates the skater,The farmers that hate the skater,ML-subj_rel_all,0
The poems the assistant admires,The poem the assistant admires,ML-obj_rel_no_comp_across_inanim_all,1
The poem that the dancer loves,The poems that the dancer loves,ML-obj_rel_across_inanim_all,0
The poem the executive,The poem the executives,ML-obj_rel_no_comp_within_inanim_all,0
The teacher that the skater loves,The teachers that the skater loves,ML-obj_rel_across_anim_all,0
The farmer near the executives,The farmers near the executives,ML-prep_anim_all,0
The author that the taxi drivers hate,The authors that the taxi drivers hate,ML-obj_rel_across_anim_all,0
The manager that loves the ministers,The managers that love the ministers,ML-subj_rel_all,0
The surgeon enjoys playing tennis with colleagues and,The surgeons enjoy playing tennis with colleagues and,ML-long_vp_coord_all,0
The farmer in front of the chefs,The farmers in front of the chefs,ML-prep_anim_all,0
The senators to the side of the parents,The senator to the side of the parents,ML-prep_anim_all,1
The poems the dancers love,The poem the dancers love,ML-obj_rel_no_comp_across_inanim_all,1
